id,dispenser,time,temperature_C
1,red,1720730488,17.880356653071903
2,blue,1720730488,17.51255974900469
3,green,1720730488,18.991514616668418
4,red,1720730492,15.458279523679765
5,blue,1720730492,17.111552167647538
6,green,1720730492,16.098784756187595
7,red,1720730496,17.30133059257703
8,blue,1720730496,17.715107712197213
9,green,1720730496,17.649688039142546
10,red,1720730500,16.42279364690509
11,blue,1720730500,17.680709846085637
12,green,1720730500,17.21195687067188
13,red,1720730504,17.814089850343684
14,blue,1720730504,16.53801733807228
15,green,1720730504,16.025500543317442
16,red,1720730508,16.851337393535168
17,blue,1720730508,16.074413308568626
18,green,1720730508,17.584009590987897
19,red,1720730512,18.04125950623087
20,blue,1720730512,15.17549718269434
21,green,1720730512,17.22728508875359
22,red,1720730516,17.13277390846538
23,blue,1720730516,16.57693142828014
24,green,1720730516,17.40353669701893
25,red,1720730520,15.88774758210523
26,blue,1720730520,18.212566057702436
27,green,1720730520,16.15265674911604
28,red,1720730524,17.23137807384969
29,blue,1720730524,17.598631022780605
30,green,1720730524,18.395946723115173
31,red,1720730528,16.855461112784347
32,blue,1720730528,17.33941921142124
33,green,1720730528,19.134209257028733
34,red,1720730532,16.038352917065264
35,blue,1720730532,18.913318550079754
36,green,1720730532,18.980235188509848
37,red,1720730536,17.925556730188312
38,blue,1720730536,17.793978570482835
39,green,1720730536,16.420876686325244
40,red,1720730540,17.03705666557648
41,blue,1720730540,17.87793791090368
42,green,1720730540,18.14354867700733
43,red,1720730544,15.087022416239572
44,blue,1720730544,18.291336413672756
45,green,1720730544,16.838361567540925
46,red,1720730548,15.943516652992246
47,blue,1720730548,18.9183859193894
48,green,1720730548,18.687705637520374
49,red,1720730552,17.21715723846762
50,blue,1720730552,17.310871249602037
51,green,1720730552,18.397978335715376
52,red,1720730556,16.505127238367837
53,blue,1720730556,17.370191716049256
54,green,1720730556,18.199976694632028
55,red,1720730560,16.07202781179274
56,blue,1720730560,17.298003229533116
57,green,1720730560,16.225363712698325
58,red,1720730564,16.301924407139083
59,blue,1720730564,18.94242672499108
60,green,1720730564,17.028015301631914
61,red,1720730568,16.1077016266949
62,blue,1720730568,18.572620118166622
63,green,1720730568,18.35890895147553
64,red,1720730572,17.299536895681364
65,blue,1720730572,17.891766431415647
66,green,1720730572,16.77048962754049
67,red,1720730576,15.949235052544987
68,blue,1720730576,18.34315718721005
69,green,1720730576,19.497877387458537
70,red,1720730580,17.483660656026153
71,blue,1720730580,17.303979644102483
72,green,1720730580,17.465965933763822
73,red,1720730584,16.906512654511946
74,blue,1720730584,17.621083023774553
75,green,1720730584,18.544346183036318
76,red,1720730588,16.544836262212193
77,blue,1720730588,16.665605268927095
78,green,1720730588,18.012417894377784
79,red,1720730592,16.899034566254514
80,blue,1720730592,18.59106689694179
81,green,1720730592,16.279724655694416
82,red,1720730596,16.59929993764217
83,blue,1720730596,18.335377172356022
84,green,1720730596,17.858491435218408
85,red,1720730600,15.630790366949302
86,blue,1720730600,19.56357578051672
87,green,1720730600,17.862207268492632
88,red,1720730604,14.927786507799366
89,blue,1720730604,17.445300115914083
90,green,1720730604,16.88151177252646
91,red,1720730608,18.393570308507496
92,blue,1720730608,17.995444403476647
93,green,1720730608,17.688948531899364
94,red,1720730612,18.445251816585348
95,blue,1720730612,17.892380144083795
96,green,1720730612,17.591266927858143
97,red,1720730616,16.609644739310795
98,blue,1720730616,15.39197293818028
99,green,1720730616,17.797544978714512
100,red,1720730620,17.869666988949252
101,blue,1720730620,17.894473395257982
102,green,1720730620,17.162463502678836
103,red,1720730624,17.281127046472275
104,blue,1720730624,17.005604268215443
105,green,1720730624,19.632016521598644
106,red,1720730628,16.846135937856488
107,blue,1720730628,17.37738463904258
108,green,1720730628,16.381011261784714
109,red,1720730632,16.576433719659235
110,blue,1720730632,16.32457252595793
111,green,1720730632,18.743062853414852
112,red,1720730636,19.150702211614142
113,blue,1720730636,18.043790772371295
114,green,1720730636,17.228342627560732
115,red,1720730640,15.784048758838933
116,blue,1720730640,17.782152067124223
117,green,1720730640,19.527175816132317
118,red,1720730644,16.2587048745654
119,blue,1720730644,16.887127651544684
120,green,1720730644,17.2775169426527
121,red,1720730648,16.560504704704556
122,blue,1720730648,16.682084715336813
123,green,1720730648,17.049573283798658
124,red,1720730652,17.096872110255884
125,blue,1720730652,18.460443843803358
126,green,1720730652,16.299614384430075
127,red,1720730656,18.34376623999057
128,blue,1720730656,19.13094469385049
129,green,1720730656,16.492655234219544
130,red,1720730660,17.40305484048787
131,blue,1720730660,17.939495153333546
132,green,1720730660,19.05011277833201
133,red,1720730664,18.17579991960269
134,blue,1720730664,17.89687487111959
135,green,1720730664,16.624283654013333
136,red,1720730668,17.344953614987897
137,blue,1720730668,18.975035499424774
138,green,1720730668,15.29477465250567
139,red,1720730672,17.02784504916218
140,blue,1720730672,19.175625372605033
141,green,1720730672,17.37486984612767
142,red,1720730676,17.971159155706843
143,blue,1720730676,17.699883580855378
144,green,1720730676,17.7910292294551
145,red,1720730680,16.894141588838853
146,blue,1720730680,17.339665215809614
147,green,1720730680,17.59803090708618
148,red,1720730684,16.569120485444905
149,blue,1720730684,16.679856485386207
150,green,1720730684,17.345910816926615
151,red,1720730688,19.601900786632783
152,blue,1720730688,17.427080519547523
153,green,1720730688,16.510884771583846
154,red,1720730692,18.939828229373557
155,blue,1720730692,16.193168899547587
156,green,1720730692,18.00730728910413
157,red,1720730696,17.29863944630932
158,blue,1720730696,16.664435166668653
159,green,1720730696,17.415848017355913
160,red,1720730700,17.50651541523541
161,blue,1720730700,15.669050755789042
162,green,1720730700,19.320398434405654
163,red,1720730704,17.174060963956244
164,blue,1720730704,17.46104737230396
165,green,1720730704,17.181064614049113
166,red,1720730708,17.45765937394194
167,blue,1720730708,18.150657025964538
168,green,1720730708,17.297040173887694
169,red,1720730712,17.66365701169055
170,blue,1720730712,18.9469731500402
171,green,1720730712,17.353112630286752
172,red,1720730716,17.810304213325086
173,blue,1720730716,16.854235187631772
174,green,1720730716,17.448841890789936
175,red,1720730720,18.50100420217384
176,blue,1720730720,16.55080991366747
177,green,1720730720,15.605338841694557
178,red,1720730724,16.068666458998738
179,blue,1720730724,18.25587013008418
180,green,1720730724,16.589053371586044
